pair,sector,hedge_ratio,adf_stat,num_trades,winning_trades,losing_trades,win_rate,gross_pnl,transaction_costs,net_pnl,avg_win,avg_loss,return_pct,train_accuracy
ICICIBANK.NS-HDFCBANK.NS,Banking,1.1687305372810595,-397.40719624368137,5,4,1,80.0,11081.48908719703,2147.0440045090722,8934.445082687955,2858.761571874477,-2500.6012048099515,0.8934445082687955,0.934652278177458
HDFCBANK.NS-SBIN.NS,Banking,1.1665144481744816,-485.6584097622309,6,4,2,66.66666666666666,-10069.405458262296,2090.044482005157,-12159.449940267454,2550.8289704695403,-11181.382911072807,-1.2159449940267453,0.9268585131894485
HDFCBANK.NS-KOTAKBANK.NS,Banking,0.3715324767473413,-172.07742180205747,5,4,1,80.0,13034.332794144013,1536.9790315946243,11497.353762549388,3238.2120229480706,-1455.4943292428923,1.149735376254939,0.9490407673860911
HDFCBANK.NS-AXISBANK.NS,Banking,0.9614944227489685,-346.09469024417746,7,4,3,57.14285714285714,12547.134243475524,2588.4785863785155,9958.655657097008,4238.4584665778275,-2331.7260697381003,0.9958655657097008,0.9430455635491607
HDFCBANK.NS-INDUSINDBK.NS,Banking,-0.06696779912706421,-708.9287158749612,6,5,1,83.33333333333334,18783.704135993445,913.0688899087579,17870.63524608469,4038.4515827640107,-2321.622667735364,1.787063524608469,0.9448441247002398
HDFCBANK.NS-BANKBARODA.NS,Banking,-2.1891027060199786,-496.9124844524701,8,6,2,75.0,20080.240162049042,576.0974650378104,19504.142697011233,4832.466346213902,-4745.3276901360905,1.9504142697011233,0.9376498800959233
HDFCBANK.NS-PNB.NS,Banking,-2.617546836312186,-418.47324604040483,7,6,1,85.71428571428571,9456.023424903273,796.0322836793721,8659.991141223905,3524.7340939295755,-12488.413422353548,0.8659991141223905,0.9448441247002398
HDFCBANK.NS-IDFCFIRSTB.NS,Banking,-2.5473224253896665,-673.2168619030483,8,7,1,87.5,10072.774327073139,1075.5486750054722,8997.225652067666,3078.5662646859973,-12552.738200734317,0.8997225652067665,0.947841726618705
HDFCBANK.NS-FEDERALBNK.NS,Banking,3.394875072906802,-699.1031310849025,6,4,2,66.66666666666666,-6992.485232226208,1762.8111218506308,-8755.296354076838,3244.757475055325,-10867.163127149068,-0.8755296354076838,0.935251798561151
ICICIBANK.NS-SBIN.NS,Banking,1.7665688332545555,-383.0469507530407,7,6,1,85.71428571428571,5380.475784598355,3446.9921138765008,1933.4836707218528,4493.687380855731,-25028.640614412532,0.19334836707218528,0.9334532374100719
